Reference;CodeBarre;Designation;Unite;PrixAchatHT;PrixVenteHT;TauxTVA;StockActuel;StockMinimum;Categorie;Actif
276;;paso 1/2/1/2 nhas femelle;qte;0,00;0,00;20,00;0,00;0,00;;Oui
277;;loba vache 12mm;qte;0,00;0,00;20,00;0,00;0,00;;Oui
278;;loba vacheet gmb;qte;0,00;0,00;20,00;0,00;0,00;;Oui
279;;loba vacheet verro ambo;qte;0,00;0,00;20,00;0,00;0,00;;Oui
280;;loba 12mm ferri;qte;0,00;0,00;20,00;0,00;0,00;;Oui
281;;loba 12mm ambo;qte;0,00;0,00;20,00;0,00;0,00;;Oui
282;;loba egura zkron;qte;0,00;0,00;20,00;0,00;0,00;;Oui
283;;loba ymex 10mm;qte;0,00;0,00;20,00;0,00;0,00;;Oui
284;;stale vanne maron;qte;0,00;0,00;20,00;0,00;0,00;;Oui
285;;grjouta tasa kom plus;qte;0,00;0,00;20,00;0,00;0,00;;Oui
286;;flotour tasa vsa;qte;0,00;0,00;20,00;0,00;0,00;;Oui
287;;flotour tasa clemed;qte;0,00;0,00;20,00;0,00;0,00;;Oui
288;;bik cocina plastique;qte;0,00;0,00;20,00;0,00;0,00;;Oui
289;;bik cocina inox;qte;0,00;0,00;20,00;0,00;0,00;;Oui
290;;filtre eau sws petit;qte;0,00;0,00;20,00;0,00;0,00;;Oui
291;;robinet nhas jeunne;qte;0,00;0,00;20,00;0,00;0,00;;Oui
292;;robinet nhas mnakar;qte;0,00;0,00;20,00;0,00;0,00;;Oui
293;;magana bota altinboga;qte;0,00;0,00;20,00;0,00;0,00;;Oui
294;;magana bota hyierpy;qte;0,00;0,00;20,00;0,00;0,00;;Oui
295 version1;;choka rkham marmor 40mm;qte;0,00;0,00;20,00;0,00;0,00;;Oui
296;;choka rkham marmor 35mm;qte;0,00;0,00;20,00;0,00;0,00;;Oui
297;;sifon doble gris;qte;0,00;0,00;20,00;0,00;0,00;;Oui
298;;sifon troplan abp;qte;0,00;0,00;20,00;0,00;0,00;;Oui
299;;magana bota 1,5kg 170mb;qte;0,00;0,00;20,00;0,00;0,00;;Oui
300;;loba micc;qte;0,00;0,00;20,00;0,00;0,00;;Oui
301;;grjouta tasa chefer;qte;0,00;0,00;20,00;0,00;0,00;;Oui
302;;sifon doble vilda cocina barbora grand;qte;0,00;0,00;20,00;0,00;0,00;;Oui
303;;magana bota aristo reglage;qte;0,00;0,00;20,00;0,00;0,00;;Oui
304;;magana bota 1kg 3adia;qte;0,00;0,00;20,00;0,00;0,00;;Oui
305;;magana bota 28 mbat fix;qte;0,00;0,00;20,00;0,00;0,00;;Oui
306;;sifon doble troplan barbora grand;qte;0,00;0,00;20,00;0,00;0,00;;Oui
307;;sifon cocina barbora grand;qte;0,00;0,00;20,00;0,00;0,00;;Oui
308;;sifon plato docha relax jimten sanplast;qte;0,00;0,00;20,00;0,00;0,00;;Oui
309;;barbora cocina grand version2;qte;0,00;0,00;20,00;0,00;0,00;;Oui
310;;barbora cocina grand tranplan;qte;0,00;0,00;20,00;0,00;0,00;;Oui
311;;goma lavadora dakhla sirin 2m;qte;0,00;0,00;20,00;0,00;0,00;;Oui
312;;goma lavadora kharja clemed 1,5m;qte;0,00;0,00;20,00;0,00;0,00;;Oui
313;;brasadira avec joint 110 version1;qte;0,00;0,00;20,00;0,00;0,00;;Oui
314;;robinet cocina rosor boutigue;qte;0,00;0,00;20,00;0,00;0,00;;Oui
315;;sifon sans barbora 32 spain;qte;0,00;0,00;20,00;0,00;0,00;;Oui
316;;mango ags;qte;0,00;0,00;20,00;0,00;0,00;;Oui
317;;mango ags sans cano;qte;0,00;0,00;20,00;0,00;0,00;;Oui
318;;robinet cocina bared rider;qte;0,00;0,00;20,00;0,00;0,00;;Oui
319;;robinet cocina kupp;qte;0,00;0,00;20,00;0,00;0,00;;Oui
320;;brasadira sans joint 100;qte;0,00;0,00;20,00;0,00;0,00;;Oui
321;;brasadira avec joint 110 version2;qte;0,00;0,00;20,00;0,00;0,00;;Oui
322;;brasadira tim 75;qte;0,00;0,00;20,00;0,00;0,00;;Oui
